CONECT    9    0    0    0    0   32
CONECT   93    0    0    0    0  128
CONECT   92    0    0    0    0  129
CONECT   91    0    0    0    0  130
CONECT   90    0    0    0    0  131
CONECT   89    0    0    0    0  132
CONECT   88    0    0    0    0  133
CONECT   87    0    0    0    0  134
CONECT   86    0    0    0    0  135
CONECT   85    0    0    0    0  136
CONECT   84    0    0    0    0  137
CONECT    8    0    0    0    0  161
CONECT    7    0    0    0    0  162
CONECT   70    0    0    0    0   81
CONECT   69    0    0    0    0   82
CONECT    6    0    0    0    0  163
CONECT    5    0    0    0    0  164
CONECT   46    0    0    0    0   56
CONECT   45    0    0    0    0   57
CONECT   44    0    0    0    0   58
CONECT   43    0    0    0    0   59
CONECT    4    0    0    0    0  165
CONECT   41    0    0    0    0   64
CONECT   40    0    0    0    0   65
CONECT   39    0    0    0    0   66
CONECT   38    0    0    0    0   67
CONECT    3    0    0    0    0  166
CONECT    2    0    0    0    0  167
CONECT   15    0    0    0    0   26
CONECT  144    0    0    0    0  154
CONECT  143    0    0    0    0  155
CONECT   14    0    0    0    0   27
CONECT  141    0    0    0    0  158
CONECT  140    0    0    0    0  159
CONECT  139    0    0    0    0  160
CONECT   13    0    0    0    0   28
CONECT   12    0    0    0    0   29
CONECT    1    0    0    0    0  168
CONECT   11    0    0    0    0   30
CONECT  107    0    0    0    0  118
CONECT   92    0    0    0    0  129
CONECT   91    0    0    0    0  130
CONECT   43    0    0    0    0   59
CONECT   90    0    0    0    0  131
CONECT    4    0    0    0    0  165
CONECT    1    0    0    0    0  168
CONECT   45    0    0    0    0   57
CONECT    2    0    0    0    0  167
CONECT   89    0    0    0    0  132
CONECT    3    0    0    0    0  166
CONECT   44    0    0    0    0   58
CONECT   13    0    0    0    0   28
CONECT   14    0    0    0    0   27
CONECT   12    0    0    0    0   29
CONECT   88    0    0    0    0  133
CONECT   93    0    0    0    0  128
CONECT   15    0    0    0    0   26
CONECT    5    0    0    0    0  164
CONECT   11    0    0    0    0   30
CONECT   86    0    0    0    0  135
CONECT   87    0    0    0    0  134
CONECT   85    0    0    0    0  136
CONECT   84    0    0    0    0  137
CONECT   46    0    0    0    0   56
CONECT    6    0    0    0    0  163
CONECT  107    0    0    0    0  118
CONECT    9    0    0    0    0   32
CONECT    7    0    0    0    0  162
CONECT   78    0    0    0    0  146
CONECT   10    0    0    0    0   31
CONECT  101    0    0    0    0  126
CONECT   60    0    0    0    0  150
CONECT   71    0    0    0    0  154
CONECT   79    0    0    0    0  145
CONECT  102    0    0    0    0  125
CONECT   80    0    0    0    0  144
CONECT   73    0    0    0    0  152
CONECT   37    0    0    0    0  160
CONECT   94    0    0    0    0  127
CONECT  105    0    0    0    0  120
CONECT    9    0    0    0    0   32
CONECT   93    0    0    0    0  128
CONECT   92    0    0    0    0  129
CONECT   91    0    0    0    0  130
CONECT   90    0    0    0    0  131
CONECT   89    0    0    0    0  132
