 108  117    0  9999
  92  129    0  9997
  91  130    0  9994
  43   59    0  9990
  90  131    0  9985
 109  116    0  9978
   4  165    0  9971
   1  168    0  9962
  45   57    0  9952
   2  167    0  9941
  89  132    0  9928
   3  166    0  9915
  44   58    0  9900
  13   28    0  9884
  14   27    0  9867
 110  115    0  9849
  12   29    0  9830
  88  133    0  9810
  93  128    0  9788
  15   26    0  9766
   5  164    0  9742
  11   30    0  9717
  16   25    0  9691
  86  135    0  9664
  87  134    0  9636
  78  146    0  9607
  17   24    0  9577
  85  136    0  9546
  10   31    0  9514
 101  126    0  9481
  60  150    0  9447
  71  154    0  9412
  79  145    0  9375
  62   70    0  9338
  84  137    0  9300
  46   56    0  9261
 102  125    0  9221
  18   23    0  9181
   6  163    0  9139
  80  144    0  9096
  63   69    0  9053
 107  118    0  9008
  73  152    0  8963
  37  160    0  8917
  94  127    0  8870
 105  120    0  8823
   9   32    0  8774
   7  162    0  8725
   8  161    0  8675
  38  159    0  8624
  70   81    0  8573
  81  143    0  8521
 106  119    0  8468
  39  158    0  8415
 100  127    0  8361
  64   70    0  8306
  62   81    0  8251
  33  156    0  8195
   9   36    0  8138
 144  154    0  8081
 102  126    0  8023
 139  160    0  7965
  82  142    0  7906
  85  137    0  7847
  36  161    0  7788
   8  160    0  7727
  99  127    0  7667
  21   50    0  7606
  84  142    0  7544
  63   68    0  7483
 103  124    0  7420
   8  163    0  7358
   9   62    0  7295
 100  126    0  7232
  50  143    0  7168
  33   64    0  7105
  60   66    0  7041
  45   59    0  6976
  40  157    0  6912
   1  167    0  6847
  50  102    0  6782
  33  118    0  6717
  49   77    0  6652
  36   62    0  6586
  33   51    0  6521
  84  136    0  6455
 155  161    0  6389
   4  164    0  6324
  43   67    0  6258
  67  120    0  6192
  49   54    0  6126
 155  160    0  6060
 104  124    0  5994
  83  140    0  5928
  36  158    0  5862
  59   67    0  5796
  36   64    0  5730
 137  154    0  5665
  75   80    0  5599
  35  162    0  5533
