  15   22  0 8  0.99988
  43   56  0 8  0.99952
  12   25  0 8  0.99893
  14   23  0 8  0.99810
  42   57  0 8  0.99703
  44   55  0 8  0.99572
  41   58  0 8  0.99418
  45   54  0 8  0.99241
  13   24  0 8  0.99040
  46   53  0 8  0.98817
   1   84  0 8  0.98570
   2   83  0 8  0.98300
  27   72  0 8  0.98008
   4   81  0 8  0.97694
  40   59  0 8  0.97357
  10   26  0 8  0.96998
   3   82  0 8  0.96618
  34   66  0 8  0.96216
   5   80  0 8  0.95793
  35   65  0 8  0.95350
  16   21  0 8  0.94885
  37   63  0 8  0.94401
  39   60  0 8  0.93897
  36   64  0 8  0.93373
   8   77  0 8  0.92830
  11   73  0 8  0.92268
  27   35  0 8  0.91687
   5   35  0 8  0.91089
  11   63  0 8  0.90473
  59   78  0 8  0.89840
   8   76  0 8  0.89190
  30   37  0 8  0.88523
  29   70  0 8  0.87841
  37   62  0 8  0.87143
  35   80  0 8  0.86430
  47   52  0 8  0.85703
   8   25  0 8  0.84961
  11   26  0 8  0.84206
  35   60  0 8  0.83438
  47   53  0 8  0.82657
   8   32  0 8  0.81863
  39   61  0 8  0.81058
  40   78  0 8  0.80242
  24   75  0 8  0.79416
   5   34  0 8  0.78579
  41   60  0 8  0.77732
  35   72  0 8  0.76876
  13   75  0 8  0.76011
  41   50  0 8  0.75139
  50   76  0 8  0.74258
  78   83  0 8  0.73371
   4   78  0 8  0.72477
   6   78  0 8  0.71576
  18   78  0 8  0.70670
  31   40  0 8  0.69759
   5   66  0 8  0.68844
  32   37  0 8  0.67924
  15   30  0 8  0.67000
  11   32  0 8  0.66073
  32   69  0 8  0.65144
   1   82  0 8  0.64212
   8   75  0 8  0.63279
  30   63  0 8  0.62344
  32   63  0 8  0.61409
   1   83  0 8  0.60473
   2   81  0 8  0.59537
   3   80  0 8  0.58602
  35   61  0 8  0.57668
  11   84  0 8  0.56735
   4   84  0 8  0.55804
  63   77  0 8  0.54875
  30   35  0 8  0.53948
  66   73  0 8  0.53025
  22   30  0 8  0.52105
   6   37  0 8  0.51189
  31   78  0 8  0.50277
  31   59  0 8  0.49370
   5   82  0 8  0.48467
  32   76  0 8  0.47570
  42   51  0 8  0.46678
  63   73  0 8  0.45792
  20   37  0 8  0.44912
  37   84  0 8  0.44038
  32   49  0 8  0.43171
   3   63  0 8  0.42311
  11   52  0 8  0.41459
  14   78  0 8  0.40613
  17   44  0 8  0.39776
   4   80  0 8  0.38947
   4   83  0 8  0.38126
   6   81  0 8  0.37313
   3   20  0 8  0.36509
  30   66  0 8  0.35713
  32   73  0 8  0.34927
  35   77  0 8  0.34150
   3   59  0 8  0.33382
  49   60  0 8  0.32624
   1   81  0 8  0.31875
  27   81  0 8  0.31137
  30   72  0 8  0.30408
  24   77  0 8  0.29689
  69   83  0 8  0.28980
  45   53  0 8  0.28281
  10   31  0 8  0.27593
   1   30  0 8  0.26915
  72   81  0 8  0.26247
  44   75  0 8  0.25590
  59   76  0 8  0.24943
   3   83  0 8  0.24307
   2   65  0 8  0.23681
  13   32  0 8  0.23067
