9 32  0 8  0.1
93 128  0 8  0.1
92 129  0 8  0.1
91 130  0 8  0.1
90 131  0 8  0.1
89 132  0 8  0.1
88 133  0 8  0.1
87 134  0 8  0.1
86 135  0 8  0.1
85 136  0 8  0.1
84 137  0 8  0.1
8 161  0 8  0.1
74 78  0 8  0.1
73 79  0 8  0.1
72 80  0 8  0.1
7 162  0 8  0.1
70 81  0 8  0.1
69 82  0 8  0.1
6 163  0 8  0.1
5 164  0 8  0.1
47 55  0 8  0.1
46 56  0 8  0.1
45 57  0 8  0.1
44 58  0 8  0.1
43 59  0 8  0.1
4 165  0 8  0.1
41 64  0 8  0.1
40 65  0 8  0.1
39 66  0 8  0.1
38 67  0 8  0.1
3 166  0 8  0.1
2 167  0 8  0.1
18 23  0 8  0.1
17 24  0 8  0.1
16 25  0 8  0.1
15 26  0 8  0.1
145 153  0 8  0.1
144 154  0 8  0.1
143 155  0 8  0.1
14 27  0 8  0.1
141 158  0 8  0.1
140 159  0 8  0.1
139 160  0 8  0.1
13 28  0 8  0.1
12 29  0 8  0.1
1 168  0 8  0.1
11 30  0 8  0.1
110 115  0 8  0.1
109 116  0 8  0.1
108 117  0 8  0.1
107 118  0 8  0.1
106 119  0 8  0.1
105 120  0 8  0.1
103 124  0 8  0.1
10 31  0 8  0.1
102 125  0 8  0.1
101 126  0 8  0.1
100 127  0 8  0.1
